,bm1_1_3082,bm1_1_3118,bm1_2_3082,bm1_2_3118,cbx_1_3082,cbx_1_3118,cbx_2_3082,cbx_2_3118,ctr_1_3082,ctr_1_3118,ctr_2_3082,ctr_2_3118,prp_1_3082,prp_1_3118,prp_2_3082,prp_2_3118,ryb_1_3082,ryb_1_3118,ryb_2_3082,ryb_2_3118
ENSG00000223972,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000227232,138,145,147,103,94,127,119,134,57,99,173,122,81,67,100,87,131,70,120,81
ENSG00000278267,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1
ENSG00000243485,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0
ENSG00000237613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000239945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0
ENSG00000268903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269981,10,1,5,1,0,0,1,0,0,2,5,0,1,0,2,0,7,0,8,0
ENSG00000239906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241860,18,2,22,3,22,1,12,0,0,6,19,3,1,0,18,3,14,1,12,0
ENSG00000222623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928,0,0,1,0,0,0,0,1,3,0,0,0,0,2,1,1,0,0,0,0
ENSG00000279457,240,141,220,140,126,158,143,153,124,152,183,108,95,94,133,122,231,140,171,102
ENSG00000273874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228463,7,7,2,7,3,9,3,8,5,2,1,7,4,5,1,5,4,9,4,8
ENSG00000241670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236679,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236743,0,0,0,0,0,4,1,0,2,0,1,1,1,1,0,1,0,0,0,0
ENSG00000236601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237094,6,10,7,8,4,6,3,6,8,1,3,2,2,3,8,18,10,2,1,3
ENSG00000269732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250575,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230021,1,2,3,0,4,4,5,0,2,2,3,3,2,0,4,1,2,0,5,0
ENSG00000235146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225972,7,4,3,27,3,8,2,22,5,4,5,0,8,1,9,8,1,9,21,6
ENSG00000225630,49,48,44,49,38,46,51,75,21,65,97,51,80,61,68,93,92,23,52,20
ENSG00000237973,843,446,396,932,306,705,375,740,695,421,694,383,334,290,1014,708,459,400,787,330
ENSG00000278791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229344,86,41,8,187,11,33,17,110,46,21,24,17,23,22,53,32,20,67,70,63
ENSG00000240409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000248527,1892,1075,858,1496,974,1517,1465,1571,1298,867,1894,702,2171,712,2985,1294,1278,1137,2258,922
ENSG00000198744,40,16,16,85,10,29,17,51,34,21,27,8,32,15,46,27,26,23,39,12
ENSG00000268663,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229376,2,2,6,1,1,4,2,8,1,1,7,3,5,3,8,7,7,0,5,1
ENSG00000228327,209,95,220,69,124,94,125,85,61,75,170,39,65,52,159,74,204,32,194,44
ENSG00000223181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229905,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000237491,32,15,24,20,30,12,27,10,14,113,32,11,13,11,25,10,24,4,33,12
ENSG00000230092,14,6,6,2,9,3,6,7,3,33,12,3,1,3,0,2,7,1,6,1
ENSG00000177757,7,3,7,0,1,11,10,2,2,2,14,3,6,2,7,4,13,2,17,1
ENSG00000228794,468,101,346,91,273,150,263,117,73,514,301,63,276,73,196,62,380,95,401,106
ENSG00000225880,6,2,2,8,4,4,10,3,9,7,11,0,8,4,7,7,15,8,11,4
ENSG00000230368,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000234711,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0
ENSG00000283040,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000272438,4,18,6,7,7,4,1,10,4,11,4,6,2,3,4,3,7,4,8,8
ENSG00000230699,14,36,29,26,24,16,5,55,10,18,9,11,2,15,13,14,26,33,10,45
ENSG00000241180,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0
ENSG00000223764,61,36,81,30,22,54,42,40,25,18,81,33,5,16,33,39,64,18,23,31
ENSG00000187634,182,30,111,30,28,29,39,10,35,54,352,51,21,19,59,28,139,30,33,22
ENSG00000188976,2440,1859,2078,1473,2542,2149,1678,2370,827,3012,2031,881,2111,1114,1491,1363,2346,1581,2911,1688
ENSG00000187961,466,265,455,289,374,440,254,207,181,274,441,205,156,163,301,165,395,214,357,219
ENSG00000187583,90,4,3,2,4,0,92,3,9,4,107,1,135,8,134,13,117,3,144,4
ENSG00000187642,24,2,2,2,1,0,27,1,3,2,15,4,19,3,26,2,14,1,31,1
ENSG00000272512,18,16,18,14,5,10,5,15,26,11,24,14,8,24,18,13,19,11,20,26
ENSG00000188290,256,228,178,224,105,208,163,170,204,228,332,270,198,210,277,193,269,259,282,247
ENSG00000187608,499,144,145,145,107,364,708,107,159,215,478,96,853,167,599,147,620,110,299,108
ENSG00000231702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224969,8,0,6,5,3,1,8,7,4,3,7,4,2,6,4,4,10,0,4,0
ENSG00000188157,15775,6155,10827,5683,4429,8950,14945,4202,7203,11595,14324,7492,10867,6115,11743,5988,16133,4028,10475,4658
ENSG00000242590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000217801,211,63,41,45,21,76,272,106,28,19,206,39,155,36,313,47,278,40,312,60
ENSG00000273443,22,8,3,7,3,16,39,24,4,2,19,1,8,6,53,4,45,1,37,5
ENSG00000237330,0,0,1,0,0,1,0,0,0,0,3,0,0,0,5,1,1,1,1,0
ENSG00000131591,336,237,257,281,288,416,262,316,149,317,363,171,277,169,331,195,356,189,413,236
ENSG00000223823,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198976,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000272141,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
